"User","ID","Display Name","Discriminator","Nickname","Mention","Color","Avatar URL","Joined Date","Created Date","Boosted Date","Top Role","Admin","Add Reactions","Admin","Attach Files","Ban Members","Change Nickname","Connect to Voice","Create Invites","Deafen Others","Embed Links","External Emojis","Kick Members","Manage Channels","Manage Emojis","Manage Server","Manage Messages","Manage Nicknames","Manage Roles","Manage Webhooks","Mention everyone","Move Members","Mute Members","Priority Speaker","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","View Audit Log","View Server Insights","@everyone","NFTfi","MemberList","Apollo","artbot","Bot Magician","Server Booster","Artist","Curated Artist","Curator","Mod"
"MikeyGotBudd#3918","522418751497437185","MikeyGotBudd","#3918","","<@522418751497437185>","#000000","https://cdn.discordapp.com/avatars/522418751497437185/a_993f4cc0a3198f3ccec6b5622c1b1f86.gif?size=1024","2021-03-01","2018-12-12","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"jmattlee#7410","835155923961774110","jmattlee","#7410","","<@835155923961774110>","#000000","https://cdn.discordapp.com/embed/avatars/0.png","2021-04-30","2021-04-23","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"ThePickle24#5368","826824698302169088","ThePickle24","#5368","","<@826824698302169088>","#000000","https://cdn.discordapp.com/avatars/826824698302169088/16a27cc38a924536167da1a51a94cc3e.webp?size=1024","2021-04-09","2021-03-31","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"crispicrunch#1247","801307436673138708","crispicrunch","#1247","","<@801307436673138708>","#000000","https://cdn.discordapp.com/avatars/801307436673138708/5e22d2fb5c6b950d7038c74bc8165852.webp?size=1024","2021-04-16","2021-01-20","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"ZhangKai#6009","825703114514497536","ZhangKai","#6009","","<@825703114514497536>","#000000","https://cdn.discordapp.com/avatars/825703114514497536/8ce5a4f8654c647e9786d5de9095a616.webp?size=1024","2021-03-31","2021-03-28","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"matt2000#6230","121686940109111297","matt2000","#6230","","<@121686940109111297>","#1abc9c","https://cdn.discordapp.com/avatars/121686940109111297/6f763ccf4d608987dfffe4c565b63a34.webp?size=1024","2021-01-02","2015-12-02","","Curator","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","Mention everyone","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","Curator",""
"johnkarp#7062","688873992777498624","johnkarp","#7062","","<@688873992777498624>","#000000","https://cdn.discordapp.com/avatars/688873992777498624/9e733391ff58c34ad3a1b0dd75d29ca3.webp?size=1024","2021-02-04","2020-03-15","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"The Glad Scientist#5026","197847231125127168","The Glad Scientist","#5026","","<@197847231125127168>","#000000","https://cdn.discordapp.com/avatars/197847231125127168/a1841b870cba189e1053680c4c249070.webp?size=1024","2021-02-14","2016-06-29","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"ovanft#0883","344682970470154242","ovanft","#0883","","<@344682970470154242>","#000000","https://cdn.discordapp.com/avatars/344682970470154242/9804178c7ad181d75d75e79db1f8d59a.webp?size=1024","2021-03-29","2017-08-09","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"abstract_df#9772","804047680195395675","abstract_df","#9772","","<@804047680195395675>","#000000","https://cdn.discordapp.com/avatars/804047680195395675/8a9bf5b8aa7e0a94d8279c3647c9de70.webp?size=1024","2021-03-05","2021-01-27","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"ezzzrrra#9910","413906947960733699","ezzzrrra","#9910","","<@413906947960733699>","#000000","https://cdn.discordapp.com/avatars/413906947960733699/efc85502900edd761a4784a65e4a60e2.webp?size=1024","2021-02-18","2018-02-16","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"snail#3344","159466086847348740","snail","#3344","","<@159466086847348740>","#000000","https://cdn.discordapp.com/avatars/159466086847348740/f8e01e78aa38caa7b547dd184fc1257e.webp?size=1024","2021-03-15","2016-03-16","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"Iana#1913","784871435956781057","Iana","#1913","","<@784871435956781057>","#000000","https://cdn.discordapp.com/avatars/784871435956781057/16f5261abc15a3c8bac43e0ac6c3ef0e.webp?size=1024","2021-04-03","2020-12-05","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"Boo#9380","761291975436795946","Boo","#9380","","<@761291975436795946>","#000000","https://cdn.discordapp.com/avatars/761291975436795946/facac44c59d99a74d0ceb62c60da0eef.webp?size=1024","2021-02-20","2020-10-01","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"Yamen 💯#6532","798795242677600297","Yamen 💯","#6532","","<@798795242677600297>","#000000","https://cdn.discordapp.com/embed/avatars/2.png","2021-02-04","2021-01-13","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"ying#1222","717405757263577198","ying","#1222","","<@717405757263577198>","#000000","https://cdn.discordapp.com/embed/avatars/2.png","2021-04-30","2020-06-02","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"brightredchilli#4347","703433387917967460","brightredchilli","#4347","","<@703433387917967460>","#000000","https://cdn.discordapp.com/embed/avatars/2.png","2021-04-30","2020-04-25","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"ΔΔ#9999","536527562457874442","ΔΔ","#9999","","<@536527562457874442>","#000000","https://cdn.discordapp.com/avatars/536527562457874442/a_b6b92842bac921b59a9ce242347522ba.gif?size=1024","2021-03-19","2019-01-20","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"Beza#5177","699680781966114856","BM","#5177","BM","<@!699680781966114856>","#000000","https://cdn.discordapp.com/embed/avatars/2.png","2021-04-30","2020-04-14","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"PS#0024","825482665880584212","PS","#0024","","<@825482665880584212>","#000000","https://cdn.discordapp.com/avatars/825482665880584212/9422277eb0bb4a3248b9546d115df22f.webp?size=1024","2021-04-30","2021-03-27","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"cccc#8753","715143737155518465","cccc","#8753","","<@715143737155518465>","#000000","https://cdn.discordapp.com/avatars/715143737155518465/163a73a81ec98df6d3b478433db56ffa.webp?size=1024","2021-01-12","2020-05-27","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"Jay Dev#6108","496835510283796490","Jay Dev","#6108","","<@496835510283796490>","#000000","https://cdn.discordapp.com/embed/avatars/3.png","2021-04-30","2018-10-03","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"2ULUX5#1936","577151446827532318","2ULUX5","#1936","","<@577151446827532318>","#000000","https://cdn.discordapp.com/avatars/577151446827532318/094924692b99b4202e25df6d8d046f9a.webp?size=1024","2021-04-30","2019-05-12","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"Gerrit#1929","773936281797263380","Gerrit","#1929","","<@773936281797263380>","#000000","https://cdn.discordapp.com/embed/avatars/4.png","2021-04-11","2020-11-05","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"river#9434","613580412773466114","river","#9434","","<@613580412773466114>","#000000","https://cdn.discordapp.com/avatars/613580412773466114/2a62a467f020974b9add52a299579364.webp?size=1024","2020-11-03","2019-08-21","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"ereyman#4999","738431119841558548","ereyman","#4999","","<@738431119841558548>","#000000","https://cdn.discordapp.com/avatars/738431119841558548/bcae3f32f50a9dd0504bcc574dd413fe.webp?size=1024","2021-02-28","2020-07-30","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"0xhouston#6320","739721987517055057","0xhouston","#6320","","<@739721987517055057>","#000000","https://cdn.discordapp.com/avatars/739721987517055057/c85cbebbe398a5c590b8953ebf61a977.webp?size=1024","2021-04-07","2020-08-03","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
